ID,ORGANIZATION_ID,CREATED_AT,TITLE,SOURCE_TYPE_ID,IS_ARCHIVED
8f54d299-954a-485a-9090-7b496698795f,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-15 20:15:19.722 Z,TeamSourced,ba0abfdc-94f7-4a34-aa25-0615dbc583fd,true
fa187114-c77b-48d9-bd2a-07ac995705d0,c0fc7bfc-5ffa-4fce-b3d8-d7d3067c3935,2024-02-06 23:55:54.982 Z,BestTalent,f1e10f79-570c-4a51-bb91-de1d05c81e31,false
397ef902-b148-47cb-b00d-a7f8c1a2d7e1,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-04-26 14:33:29.870 Z,Shaurya ,f277ae41-9e47-4644-8596-b8f01ef31a40,false
58b4a16e-92f6-4d4e-8610-ec6309d17010,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-12-06 16:01:49.797 Z,Chandni,f277ae41-9e47-4644-8596-b8f01ef31a40,false
8b340054-25c3-45e5-8153-42d2c476e7f9,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-12-22 14:45:58.166 Z,Referral Link,ecde80e1-61de-430c-b310-da012073a230,false
e9c1c3ee-f746-427b-a2c7-06211fdd4920,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-01-19 23:59:36.318 Z,TheGP,ecde80e1-61de-430c-b310-da012073a230,false
82671a89-8f85-4667-b222-7bbd52e502f7,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-09-28 17:21:44.691 Z,Applied,e9631387-ae4e-425e-8f99-04493e86cd60,false
79893ca7-0da2-4dfe-b158-310139a7d64b,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-10-19 21:03:18.401 Z,TeamSourced,f277ae41-9e47-4644-8596-b8f01ef31a40,true
6eb4d4c2-33de-407f-98de-151cc805027a,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-27 13:26:59.644 Z,Kazuki,f277ae41-9e47-4644-8596-b8f01ef31a40,false
0c58aaff-56e4-4077-bd58-c0ba71389537,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-06-13 21:11:10.049 Z,Hireflow,f277ae41-9e47-4644-8596-b8f01ef31a40,false
7af3ddb3-c501-4d26-96f1-0c40a1a3c217,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-03-11 23:50:59.552 Z,Indeed Sponsored,e9631387-ae4e-425e-8f99-04493e86cd60,false
0c8adc56-ac63-42c6-b46f-23147a106490,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-12-12 17:46:54.884 Z,Revelo ,ba0abfdc-94f7-4a34-aa25-0615dbc583fd,false
